Title;Author;ISBN;PublishYear;Publisher;Genre;Label
The Great Book of Amber;Roger Zelazny;9780380809066;1999;Avon-Eos;fantasy;1
Don't look behind you;Lois Duncan;9780140340228;1989;Tandem Library;mystery;1
One Shot;Lee Child;849006461X;2005;RBA;thriller;1
Silverwing;Kenneth Oppel;9789025732295;1997;Simon & Schuster Books For Young Readers;fantasy;1
Fables;Bill Willingham;0613667662;2002;Vertigo;fantasy;1
Escape from the Wacky Dragon;Ronan Serrano;3271594494543;1951;E-Artnow;fantasy;0
The Tale of Benjamin Bunny;Beatrix Potter;9780671692544;1904;Ottenheimer;fiction;1
Ten big ones;Janet Evanovich;9780312332792;2004;Audio Renaissance;thriller;1
Cymbeline;William Shakespeare;1404332464;1734;American Book Co.;fiction;1
Memoirs of a Omniscient Affair;Mayra Montgomery;4288241112457;1910;Editorial Toromítico;fiction;0
Escape from the Lucky Election;Yamileth Howe;1360919031284;1989;Gladius Media & Publishing, LLC;thriller;0
A House-Boat on the Styx;John Kendrick Bangs;9781434494726;1895;Creative Media Partners, LLC;fantasy;1
Amsterdam;Ian McEwan;9780676972177;1998;Quinteto;thriller;1
The breakdown;Freida McFadden;1250153026;2016;St. Martin's Paperbacks;thriller;1
Young Mungo;Douglas Stuart;0802159567;2022;Grove/Atlantic, Incorporated;romance;1
Death Comes as the End;Agatha Christie;9780007211685;1944;Macmillan Audio Books;fiction;1
Death's End (The Three-Body Problem Series Book 3);刘慈欣;9780765377104;2010;Mao tou ying chu ban;fiction;1
Diary of a Lucky Cigarette;Erick Bruce;2802983085641;1936;Argo;fantasy;0
Derailed;James Siegel;9780892967612;2002;Grand Central Publishing;thriller;1
The body farm;Patricia Cornwell;9780745136448;1994;Berkley Books;mystery;1
Adjoining Toast: A Memoir;Blaine Thompson;5918848544121;2021;Gribaudo;fiction;0
Le diable au corps;Raymond Radiguet;9782702804049;1923;Grasset;romance;1
How to Represent a Reception;Jamie Frye;2053469152362;1990;Ancient Wisdom Publications;fantasy;0
The Shelters of Stone;Jean M. Auel;5559608955;2001;BCA;fiction;1
A Thousand Boy Kisses;Tillie Cole;1504757637;2016;Penguin Books, Limited;romance;1
The Final Empire;Brandon Sanderson;0765350386;2001;Ediciones B Mexico;fiction;1
The Lion, the Witch and the Wardrobe;C.S. Lewis;0060086610;1950;Mi rigs dpe skrun khaṅ;fiction;1
The Case of the Gilded Fly (Gervase Fen #1);Edmund Crispin;9781799736271;1944;London House & Maxwell;mystery;1
The Unexpected Outcome;Noah Velazquez;9542094263073;1990;Xin hua shu dian Shanghai fa xing suo fa xing;romance;0
Viewing the Consistent Instance;Hugh Owens;7390865816209;1900;Award Books, Inc.;romance;0
Interpreter of maladies;Jhumpa Lahiri;9789076168111;1999;Tandem Library;fiction;1
A dark-adapted eye;Ruth Rendell;3257218265;1986;Media Books Audio Publishing;mystery;1
The Legend of the Twisted Length;Kannon Rice;3664376774102;2023;Claremont Books;mystery;0
Journey to the Juvenile Possibility;Aisha Perez;8296720318741;1918;BIBLOK;mystery;0
The Secret of the Interaction;Colt Gutierrez;2221894113435;2017;Pocket French;fantasy;0
Villospår;Henning Mankell;1860468373;1995;The Harvill Press;mystery;1
The Night Watch;Sergeĭ Lukʹi͡anenko;1400025125;1999;Anchor Canada;thriller;1
Black Amber;Phyllis A. Whitney;0232011117;1964;Corgi;thriller;1
The Chef;James Patterson;1529123925;2019;Arrow;thriller;1
Bridget Jones's Diary;Helen Fielding;9788484501459;1996;RBA;romance;1
Bizarre Responsibility: A Memoir;Reign Liu;9375612254755;1939;EGMONT CHILDREN'S;fantasy;0
The blue castle;Lucy Maud Montgomery;9798704751250;1926;Tundra Books;romance;1
Guilty Pleasures (Anita Blake Vampire Hunter);Laurell K. Hamilton;0441304834;1995;Ace Books;fantasy;1
The Hunters;William E. Butterworth III;9781423323525;2006;Jove;thriller;1
Witch;Barbara Michaels;9780061691157;1973;Dodd, Mead;thriller;1
The Prisoner of Zenda;Anthony Hope;1096022451;1800;longman;thriller;1
The Legend of the Consistent Yeti;Gracelyn Cabrera;4313327428749;1967;Editions Grand Caractère;fantasy;0
The Chronicles of the Golden Recommendation;Dior Hess;5733902668924;1935;Ladybird Books Ltd;fantasy;0
Hearing and the Bent Quest;Amari Rush;7370066741306;1923;Parragon Plus;fiction;0
Spaceship and the Innate Quest;Oakley Compton;1904110782728;1952;Grosmo Classics Publishing;romance;0
Memoirs of a Geisha;Arthur Golden;9781784871406;1997;Knopf Doubleday Publishing Group;fiction;1
A Guide to Interrupting the Passion;Gianni Stark;2809243381885;1945;Sms Yayınları;romance;0
Danny and the Dinosaur;Syd Hoff;9780962516221;1958;Lectorum;fiction;1
The Rise and Fall of the Intriguing Death;Madalyn Todd;5840292095166;1924;Aladdin Classics;thriller;0
Planet of the Damned;Harry Harrison;1469259923;1900;Open Road Media Sci-Fi & Fantasy;fantasy;1
Assistant and the Zonked Quest;Alaina Reilly;9556794346196;1945;Pan Books;romance;0
Diary of a Cowardly Concept;Alena Doyle;2378069684636;1934;Cactus Classics;thriller;0
Tales of a Imaginative Mole;Kelvin Reynolds;4196426251501;2016;Reading A-Z Publishing House;thriller;0
My Life as a Marvelous Possibility;Leanna Everett;3121697838654;1914;Bibliotech Press;romance;0
Glinda of Oz;L. Frank Baum;9798744193423;1920;Creative Media Partners, LLC;mystery;1
The Legend of the Loving Engineering;Maggie Sierra;7717742458336;1972;The Mondragon Press;romance;0
Version and the Possessive Quest;Grey Koch;6881267835102;1926;Ren Kitap;fantasy;0
Out of Nowhere;Patricia Wilson;9780263132038;1992;Mills And Boon;romance;1
Ensaio Sobre a Cegueira;José Saramago;9780156007757;1995;Vintage Classics;fiction;1
How to Formulate a Dragon;Felipe Clay;7715751645324;1969;Gramedia Pustaka Utama;romance;0
Precedeing the Quirky Hearing;Brett Fry;3930691263421;2020;Kuperard Publishers;fantasy;0
My Life as a Adjoining Passion;Roger Meadows;9524802370497;1926;Ediciones Minotauro;fantasy;0
If Tomorrow Comes;Sidney Sheldon;5150002747;1984;Harpercollins India;thriller;1
Lapvona;Ottessa Moshfegh;0593300289;2022;Penguin Random House Grupo Editorial;fantasy;1
The Secret of the Hearing;Raphael Park;7971197958403;1936;Ediciones B;romance;0
The good girl's guide to murder;McBride, Susan;0739450484;2004;Avon;romance;1
Diary of a Curious Magazine;Lyric Delarosa;2386774131901;1937;AIMS International Books;thriller;0
The Fanatical Jeep;Luca Gilmore;6255743680362;1935;Gresham Publishing Company Limited, The;thriller;0
The Chronicles of the Beneficial Throat;Brinley Morse;5149285030200;1904;Sperling Paperback;fiction;0
The Historian;Elizabeth Kostova;9781415929001;2005;NHK Shuppan;fiction;1
A Guide to Interrupting the World;Atticus Juarez;4651081911337;1962;BBC Books;fiction;0
Chronicles of Military Refrigerator Kingdom;Barrett Sawyer;7134415807761;2013;Blond;fantasy;0
The Last Inner Version;Jadiel King;6439018945540;1999;Roca Editorial;fiction;0
The Chronicles of the Flimsy Toast;Marlon Lewis;4481088915197;1938;Iwanami Shoten/Tsai Fong Books;fantasy;0
The Rise and Fall of the Educated Literature;Barbara Conley;2132619447786;1902;Abraxas Press;fantasy;0
Magnolia Parks;Jessa Hastings;9781398725003;2021;Also Industries;romance;1
Escape from the Oceanic Literature;Jacoby Woods;1214635481067;1965;Starling and Black Publications;thriller;0
Memoirs of a Handy Wizard;Augustus Vincent;4654271996730;1916;Signet Book;fiction;0
Mystic river;Dennis Lehane;9788535903058;2001;Transworld Pub;fiction;1
Midnight Sun's Magic;Betty Neels;9780373023141;1979;Harlequin Enterprises ULC;romance;1
The ballad of Peckham Rye;Muriel Spark;0333547284;1960;imusti;thriller;1
Adventures in Yeti Land;Megan Henderson;2307600709898;1966;colliers;mystery;0
El conde Lucanor;Don Juan Manuel;840190546X;1839;Ediciones Libertarias;romance;1
Little, Big;John Crowley;9780553233377;1981;V. Gollancz;romance;1
The Chronicles of the Adjoining Clothes;Jalen Fowler;7887532640397;1995;Troll Associates;fiction;0
Escape from the Mysterious Reception;Johnathan Singleton;1920811662346;1950;BCA ( BOOK CLUB ASSOCIATES );thriller;0
Tales of a Former Energy;Magnus Turner;1884138578202;1905;Heinemann in association with Chatto & Windus...etc.;mystery;0
Adventures in Jeep Land;Milan Schmidt;4218310102159;1905;J.M. Dent & sons ltd.;fantasy;0
The Private School Murders;James Patterson;9780316207652;2013;Grand Central Publishing;thriller;1
Seven keys to Baldpate;Earl Derr Biggers;9798454754488;1913;Seltzer Books;mystery;1
The Legend of the Intriguing Yeti;August Good;3427909708018;1927;Collins Fontana Books;romance;0
How to Lift a Responsibility;Aylin Parks;3251259018999;1951;Duke Classics;thriller;0
Thud!;Terry Pratchett;9781846171635;2005;Debolsillo;fantasy;1
Aesop's Fables;Aesop;9781413090918;1848;Euphorion;fiction;1
Friday's Child;Georgette Heyer;9780754054443;1944;W. Heinemann ltd;romance;1
Not His Kind of Woman;Roberta Leigh;9780263775020;1992;Mills and Boon;romance;1
Duma Key;Stephen King;1416552510;2008;People's Literature Publishing House;fiction;1
Escapeing the Zonked Banana;Truett Conrad;7306692800051;1973;Chapman and Hall;fantasy;0
Emil und die Detektive;Erich Kästner;0224603671;1930;POCHE JEUNESSE;mystery;1
Year One;Nora Roberts;1432844040;2017;St. Martin's Griffin;thriller;1
Diary of a Perfect King;August Travis;9927826398617;1919;Moonhak Soochup Publishing;thriller;0
Escape from the Observant Throat;Gertrude Zimmerman;2413419702008;1919;Oscar Mondadori;fiction;0
A Guide to Tameing the Climate;Averi Mosley;4837427237469;2009;Anaconda;fiction;0
Catching Fire;Suzanne Collins;9785170671281;2009;Harper;fantasy;1
The Legend of the Zonked Engineering;Arianna Christian;2561290461323;1912;Abbeville Pr;fiction;0
Diary of a Mysterious Responsibility;Dustin Wagner;8483801086580;2011;Arrow Books Ltd;mystery;0
The Rise and Fall of the Cagey Robot;Kennedy Bryan;2068302331163;1933;Letras Cubanas Editorial;fiction;0
The Chronicles of the Abnormal Election;Janna Meza;7915773728248;1984;Brand: Scholastic Book Services;mystery;0
Män som hatar kvinnor;Stieg Larsson;9780143170099;2005;;thriller;1
The Rise and Fall of the Omniscient World;River Rivas;7346206414435;1983;HarperLargePrint;fiction;0
How to Lift a Concept;Kingsley Ballard;8528677939695;1971;Payot;thriller;0
Diary of a Mysterious Engineering;Eithan Cole;8709768994899;1950;Norwood Editions;romance;0
Diary of a Flying Hearing;Aspyn Gallegos;4404560856438;1968;Span Press;mystery;0
Persuasion;Jane Austen;0194233111;1789;eBooksLib;fiction;1
The Chronicles of the Bizarre Farmer;Rachelle Ray;5640395919910;1935;Brilliance Audio Unabridged;romance;0
Memoirs of a Handy Family;Winter McLean;5571614751810;1921;Riverdale Classics;fiction;0
Troilus and Criseyde;Geoffrey Chaucer;9780849558481;1483;Boydell & Brewer;fiction;1
Triumphant Dragon: A Memoir;Israel Schmidt;6228882322288;1943;Sanage Publishing House Llp;romance;0
The Curse of the Mysterious Magazine;Jazmine Moses;9574719403191;1957;Libros del Zorro Rojo;thriller;0
Sign of the Moon;Erin Hunter;109411653X;2011;HarperCollins B and Blackstone Publishing;fantasy;1
The Course of True Love;Betty Neels;9780263119800;1987;MacMillan Publishing Company;romance;1
Escape from the Twisted Importance;Aarav Galvan;4002651149978;2001;Warnr ,1984 publication;mystery;0
The Crisis;Winston Churchill;1421922088;1901;Kessinger Publishing;romance;1
My Life as a Whimsical Decision;Ledger Taylor;6863597642854;2020;Charles E. Tuttle;mystery;0
The Searcher;Tana French;073522465X;2020;Viking;thriller;1
Assumption and the Juvenile Quest;Alan Cisneros;4231841320220;1932;William Heinemann;thriller;0
A Guide to Fulfiling the Family;Dante Berger;8591835090768;1911;Palazzo Editions;fiction;0
The girl in the ice;Robert Bryndza;1538730170;2016;Grand Central Publishing;mystery;1
The Wacky Paper;Arielle Mueller;1089485873539;1980;Playmore;romance;0
The Curse of the Curious Outcome;Anastasia Lee;1897220501232;1967;Uitgeverij Het Spectrum;fiction;0
Journey to the Consistent Guitar;Erin Nixon;1650959958392;2014;Orto;fiction;0
My Life as a Intriguing Passion;Nasir Stewart;1591290822198;1978;Classic Fiction;fantasy;0
Chronicles of Wacky Clothes Kingdom;Ayla Trevino;8270788953156;1952;Tatran;thriller;0
How to Balance a Importance;Emmalyn Underwood;8864334272469;1920;Macmillan Co.;romance;0
Chronicles of Oceanic Energy Kingdom;Anahi Watson;3685603461493;2010;Ebury Publishing;mystery;0
The acts of King Arthur and his noble knights;John Steinbeck;9782277217848;1976;Columna CAT;fantasy;1
The Darkest Evening of the Year;Dean Koontz;0553804820;2007;Record;thriller;1
The Chronicles of the Ambitious Recommendation;Kohen Donaldson;6167730991896;1931;Tiger Books International;mystery;0
Long Cold Winter;Penny Jordan;9780263737929;1982;Harlequin Books;romance;1
Dragons of Winter Night;Margaret Weis;9781439572436;1985;Devil's Due Publishing;fantasy;1
Epitaph for a Spy;Eric Ambler;9780333746073;1938;Recorded Books;thriller;1
How to View a Climate;Raina Snyder;1919111941396;1999;Classici del Giallo Mondadori;romance;0
The door with seven locks;Edgar Wallace;9798443702186;1926;Pan Books;mystery;1
Adventures in Wizard Land;Rivka Wolfe;2799388517028;2013;Andrew Dakers;mystery;0
My Life as a Spotty Gate;Kirsten Norris;2506243934092;1922;The Standard Library Company;mystery;0
A Guide to Muttering the Responsibility;Chandler Bell;9029896185387;1922;Houghton Mifflin Co.;fantasy;0
How to Rebuild a Attention;Pierce Burns;7642393149512;2025;audiobooksonline.co.uk;fantasy;0
The Rise and Fall of the Perfect Software;Itzayana Callahan;5804434351521;1908;Vulkan;thriller;0
The Magic Strings of Frankie Presto;Mitch Albom;8416690685;2015;HarperCollins Publishers;fantasy;1
Serpent and the Wings of Night;Carissa Broadbent;1250343186;2022;Nasyra Publishing;fantasy;1
Luckiest Girl Alive;Jessica Knoll;1447286227;2001;Roca Editorial;thriller;1
The Chain;Adrian McKinty;1549122401;2019;Mulholland Books;thriller;1
Dr. Seuss's ABC;Dr. Seuss;0676507999;1960;Living Books;fiction;1
One of us is lying;Karen M. McManus;9781524714697;2017;Delacorte Press;romance;1
The Secret of the Zombie;Tiana Perry;2058320611104;1920;SVE;fiction;0
My Life as a Intriguing Dragon;Albert Aguirre;1914756973009;1962;Random House;mystery;0
Chronicles of Former Length Kingdom;Patrick Welch;5865932885309;1920;Lautaro Editorial;mystery;0
The Woman in White;Wilkie Collins;9798639274152;1860;Start Publishing LLC;thriller;1
An Ideal Marriage?;Helen Bianchin;9780263802214;1997;Harlequin Enterprises ULC;romance;1
Escape from the Mysterious Spaceship;Mohammad Dixon;8824503683626;1937;Wagenbach;mystery;0
Northern Lights;Philip Pullman;9789867399946;1995;I Tascabili Degli Editori Associati;fantasy;1
Zombie and the Impartial Quest;Amelia Hull;3376632665929;1953;Dramatic Pub Co;fantasy;0
The Ugly American;William J. Lederer;9798486019654;1958;Turtleback;fiction;1
Journey to the Educated Election;Amiyah Rojas;2383347104586;2010;Sphere;romance;0
Escape from the Vigorous Cigarette;Uriah Levy;8178691220536;2024;Read Books;mystery;0
Thursday's Child;Sandra Brown;9780553802542;1985;Bantam Books;romance;1
The Secret of the Security;Isaias Harrington;3897900411063;1972;Kounouz;mystery;0
Tales of a Bustling Affair;Thea Eaton;7602256213121;1993;William Clowes and Sons;thriller;0
Tales of Mystery and Imagination [29 stories];Edgar Allan Poe;9780861366521;1902;Tudor Publishing Co.;romance;1
Contract and the Flimsy Quest;Rosemary Burton;3638236369300;2024;Hobbit press Klett Cotta;mystery;0
Johnny Tremain;Esther Forbes;9781328489166;1943;Bantam Doubleday Dell Publishing Group;fiction;1
The Final Empire;Brandon Sanderson;0765350386;2001;Ediciones B Mexico;fantasy;1
Assumption and the Oceanic Quest;Mark Logan;9256800959507;1929;Minotaur;fantasy;0
Diary of a Beneficial Importance;Marie Maynard;4843270476044;1913;Read & Co. Books;fantasy;0
The Ugly Duckling;Hans Christian Andersen;0641810911;1851;Abdo Pub.;fiction;1
Bride, Bought and Paid For;Helen Bianchin;9781299305502;2009;Mills & Boon;romance;1
The Fifth Elephant;Terry Pratchett;0708992102;1999;Goldmann;fantasy;1
How to Follow a Assumption;Adalynn Coleman;5417262650933;2023;Audio Realms;romance;0
A Guide to Hireing the Cigarette;April Byrd;3708516097167;1970;Wexford College Press;thriller;0
Journey to the Tenuous Literature;Nelson Hammond;5683555698322;1977;OXFORD UNIV PRESS;romance;0
World and the Roomy Quest;Lennon Fowler;2447872211028;1941;Serenity Publishers;fantasy;0
Hello, darkness;Sandra Brown;9780340830550;2003;Pocket Star;thriller;1
Pepita Jimenez - 67;Juan Valera y Alcalá-Galiano;8449414644;1874;Sine nomine;romance;1
Lyddie;Katherine Paterson;9780613093460;1991;Gollancz;fiction;1
The Invisible Dog;Dick King-Smith;9780517594254;1993;Penguin;fantasy;1
The Legend of the Voracious World;Pansy Conway;8129747066879;1991;Book Club Associates;romance;0
Adventures in Election Land;Freida Fuentes;9284414914897;1931;Wen hua sheng huo chu ban she;fantasy;0
Du contrat social;Jean-Jacques Rousseau;9781412194037;1762;Regnery Pub.;fiction;1
The worm Ouroboros;Eric Rücker Eddison;9781609770655;1900;Ballantine Books;romance;1
Running blind;Lee Child;9781611761948;2000;G.P. Putnam's Sons;thriller;1
Pillars of Creation;Terry Goodkind;1250869285;2001;Brilliance Audio on CD Unabridged Lib Ed;fantasy;1
The Shy Bride;Lucy Monroe;0373129297;2010;Harlequin;romance;1
The Cagey Microwave;Zhuri Tapia;1701216525679;1955;Distributed by Barnes & Noble Audio Classics;fiction;0
A Millionaire of Yesterday;Edward Phillips Oppenheim;149378949X;1906;BookSurge Classics;mystery;1
Brutal Prince;Sophie Lark;9781728295350;2020;Bloom Books;romance;1
Journey to the Faithful Refrigerator;Harrison Kramer;7164322668537;1979;Griffith Farran Browne & Co.;mystery;0
Escape from the Ambitious Gate;Ares Adams;1525579253055;2024;T.Nelson;mystery;0
How to Order a Context;Leonel Leon;2965155603804;1947;epikbooks;romance;0
Of Fire and Stars;Audrey Coulthurst;9780062433251;2016;Balzer + Bray;fantasy;1
The Chronicles of the Vigorous Assumption;Karina Adkins;8189991810266;1989;Hovendon Company;fantasy;0
La ciudad y los perros;Mario Vargas Llosa;9788817678810;1963;Христо Г. Данов;fiction;1
Chronicles of Perfect Affair Kingdom;Emery Santiago;3964817287013;2003;NORMA;thriller;0
Sons and Lovers;David Herbert Lawrence;9798787181975;1913;Harborough;fiction;1
Employer and the Lucky Quest;Aubrielle Moody;6852776285972;2003;Editorial Molina;fiction;0
Escape from the Crooked King;Harlem Meyers;1240959002729;1970;Xiao chang shu fang;romance;0
The Secret of the Penguin;Zachariah Gilmore;3095177576332;1932;Coronet Publishing, an imprint of Hodder & Stoughton;fiction;0
Glass Sword;Victoria Aveyard;9780062449634;2016;Thorndike Press Large Print;romance;1
The Indian in the Cupboard;Lynne Reid Banks;0380726432;1980;Granada;fiction;1
The Gruffalo's Child;Julia Donaldson;9781035034581;2004;Editorial Brúixola;fiction;1
The Clue of the Twisted Candle;Edgar Wallace;9781686185199;1900;Standard Publications, Inc.;mystery;1
Discussing the Quirky Affair;Bryan Giles;4367729206862;1901;Editorial Anagrama, S.A.;mystery;0
The unexpected guest;Agatha Christie;0753161532;1958;BBC Audiobooks;mystery;1
Diary of a Vigorous Software;Ramon Douglas;9908492937439;1979;Publishers Guild;fiction;0
Mistress Bride (Society Weddings);Michelle Reid;9781299343771;1999;Harlequin Enterprises, Limited;romance;1
City of Ashes;Cassandra Clare;9781406307627;2007;Simon and Schuster ;romance;1
Memoirs of a Educated Zombie;Kylee McClure;5020528262115;1983;coffee writers shop publishing house;fantasy;0
The Under Dog and Other Stories [9 stories];Agatha Christie;1504765400;1926;Planeta;mystery;1
My Life as a Bustling Clothes;Millie Schultz;8069604130110;1957;Gudʹi͡a︡l-Press;fantasy;0
Christine;Stephen King;9782277218661;1983;Signet;fiction;1
How to Look a Jeep;Aubriella Taylor;7085779440094;1984;Librarie des Champs-Elysées;mystery;0
Memoirs of a Tenuous Death;Gianni Gaines;4229770347686;1976;Cambridge Scholars Publishing;romance;0
White Ninja;Eric Van Lustbader;9780246136572;1990;Fawcett Crest;thriller;1
The Chronicles of the Curious Mom;Alexandra Merritt;1624497721278;2001;St Martin's Press;fiction;0
The Curse of the Bent Mole;Avery McKay;5405349410234;1992;Unicorn Press;thriller;0
The Sweetest Fig;Chris Van Allsburg;9681646193;1993;L'Ecole des loisirs;fantasy;1
Beast;Peter Benchley;0517199076;1991;Random House;thriller;1
The Chronicles of Pern;Anne McCaffrey;0345419596;1993;Random House Publishing Group;fantasy;1
Kingdom of Flesh and Fire;Jennifer L. Armentrout;1952457777;2020;Blue Box Press;fantasy;1
The Secret of the Responsibility;Zoie O’Connor;3935525843352;1942;ALS Audio Language Studies Inc.;thriller;0
Wizard and Glass;Stephen King;9780452279179;1837;Rebound by Sagebrush;thriller;1
Chronicles of Fanatical Toast Kingdom;Julianna O’Neal;1757193881358;1972;Logos;fantasy;0
Cahier des charges de La vie;Georges Perec;9780785931003;1978;Korporacja Ha!Art;romance;1
The Curse of the Mysterious Refrigerator;Remi Mullen;6135788468727;1992;REA;mystery;0
The Wolf and the Dove;Kathleen E. Woodiwiss;9780060532062;1974;William Morrow & Co;romance;1
Diary of a Impartial Affair;Harley Charles;8082476795808;2001;NXB Văn nghue TP. Hso Chí Minh;fantasy;0
The Red Thumb Mark;R. Austin Freeman;1092160353;1907;MysteriousPress.com;mystery;1
The Rise and Fall of the Triumphant Steak;Maxine Gaines;7558579421150;1905;Klagenfurt : Kaiser,;fantasy;0
How to Fling a Instance;Presley Hayden;3843945793382;1987;Unknown Southasian Publishing;fiction;0
The Omniscient Concept;James Hodges;6974954095691;1942;Spark;fiction;0
The Curse of the Dancing Spaceship;Cali Velez;6701819316787;1962;Albert Bonniers förlag;fiction;0
The Arrogant Duke;Anne Mather;9780263744330;1970;Harlequin Mills & Boon, Limited;romance;1
The Wishing Spell;Chris Colfer;9798855025903;1990;new york;fiction;1
The knight at dawn;Mary Pope Osborne;1536407615;1993;Egmont;mystery;1
An Elusive Desire;Anne Mather;0263741931;1983;MacMillan Publishing Company;romance;1
The Rose Code;Kate Quinn;0063062453;2021;William Morrow Paperbacks;mystery;1
The Poisonwood Bible;Barbara Kingsolver;159355950X;1998;Brilliance Audio on CD Unabridged Lib Ed;fiction;1
The Secret of the Passion;Thiago Cameron;7824372648300;2002;Aufbau Tb;fiction;0
Kniha smíchu a zapomnění;Milan Kundera;9780571174379;1979;A. A. Knopf;fiction;1
A Clockwork Orange;Anthony Burgess;8576571366;1962;Independently Published;fiction;1
The great impersonation;Edward Phillips Oppenheim;9798708236159;1920;CruGuru;mystery;1
New York to Dallas;Nora Roberts;9781455846689;2011;G. P. Putnam's Sons;mystery;1
The Paper Magician;Charlie N. Holmberg;9781477823835;2014;47North;fantasy;1
Sideways Stories from Wayside School;Louis Sachar;9781408801727;1978;Follett Pub. Co.;fiction;1
Adventures in Literature Land;Kaylee Rosales;7700597205582;1944;Signet Book;romance;0
A Guide to Discussing the Penguin;Uriel Ross;4394615950784;2014;Softback Preview;mystery;0
My Life as a Zonked Employer;Damir Carey;2232872870605;2012;W.B. Conkey Co.;mystery;0
The Rise and Fall of the Bustling World;Lee Robinson;1993869886926;1993;Editorial Juventud;fantasy;0
Matilda;Roald Dahl;9780435123987;1988;Rowohlt Tb.;fantasy;1
Adventures in Literature Land;Abdiel Huerta;1386563235104;1948;Hodder & Stoughton General Division;mystery;0
